NumDrones,AverageTime,BubbleSortTime,MinTime,MaxTime
100,0.0011,0.0718,0.0007,0.0012
200,0.0022,0.2624,0.0015,0.0029
300,0.0036,0.5972,0.0024,0.0044
400,0.0048,1.0658,0.003,0.0049
500,0.0058,1.6628,0.0038,0.0065
600,0.0072,2.4224,0.0045,0.0084
700,0.0082,3.1797,0.0052,0.0105
800,0.0093,4.3254,0.0075,0.0109
900,0.0059,5.3323,0.0092,0.0122
